Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","3","Albania","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2881","*","Unofficial figure"
"FBS","Food Balances (2010-)","11","Austria","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","8955","*","Unofficial figure"
"FBS","Food Balances (2010-)","57","Belarus","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","9452","*","Unofficial figure"
"FBS","Food Balances (2010-)","255","Belgium","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","11539","*","Unofficial figure"
"FBS","Food Balances (2010-)","80","Bosnia and Herzegovina","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","3301","*","Unofficial figure"
"FBS","Food Balances (2010-)","27","Bulgaria","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","7000","*","Unofficial figure"
"FBS","Food Balances (2010-)","98","Croatia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4130","*","Unofficial figure"
"FBS","Food Balances (2010-)","167","Czechia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10689","*","Unofficial figure"
"FBS","Food Balances (2010-)","54","Denmark","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5772","*","Unofficial figure"
"FBS","Food Balances (2010-)","63","Estonia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1326","*","Unofficial figure"
"FBS","Food Balances (2010-)","67","Finland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5532","*","Unofficial figure"
"FBS","Food Balances (2010-)","68","France","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","65130","*","Unofficial figure"
"FBS","Food Balances (2010-)","79","Germany","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","83517","*","Unofficial figure"
"FBS","Food Balances (2010-)","84","Greece","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10473","*","Unofficial figure"
"FBS","Food Balances (2010-)","97","Hungary","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","9685","*","Unofficial figure"
"FBS","Food Balances (2010-)","99","Iceland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","339","*","Unofficial figure"
"FBS","Food Balances (2010-)","104","Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4882","*","Unofficial figure"
"FBS","Food Balances (2010-)","106","Italy","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","60550","*","Unofficial figure"
"FBS","Food Balances (2010-)","119","Latvia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1907","*","Unofficial figure"
"FBS","Food Balances (2010-)","126","Lithuania","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2760","*","Unofficial figure"
"FBS","Food Balances (2010-)","256","Luxembourg","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","616","*","Unofficial figure"
"FBS","Food Balances (2010-)","134","Malta","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","440","*","Unofficial figure"
"FBS","Food Balances (2010-)","273","Montenegro","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","628","*","Unofficial figure"
"FBS","Food Balances (2010-)","150","Netherlands","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","17097","*","Unofficial figure"
"FBS","Food Balances (2010-)","154","North Macedonia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2083","*","Unofficial figure"
"FBS","Food Balances (2010-)","162","Norway","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5379","*","Unofficial figure"
"FBS","Food Balances (2010-)","173","Poland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","37888","*","Unofficial figure"
"FBS","Food Balances (2010-)","174","Portugal","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10226","*","Unofficial figure"
"FBS","Food Balances (2010-)","146","Republic of Moldova","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4043","*","Unofficial figure"
"FBS","Food Balances (2010-)","183","Romania","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","19365","*","Unofficial figure"
"FBS","Food Balances (2010-)","185","Russian Federation","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","145872","*","Unofficial figure"
"FBS","Food Balances (2010-)","272","Serbia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","8772","*","Unofficial figure"
"FBS","Food Balances (2010-)","199","Slovakia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5457","*","Unofficial figure"
"FBS","Food Balances (2010-)","198","Slovenia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2079","*","Unofficial figure"
"FBS","Food Balances (2010-)","203","Spain","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","46737","*","Unofficial figure"
"FBS","Food Balances (2010-)","210","Sweden","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10036","*","Unofficial figure"
"FBS","Food Balances (2010-)","211","Switzerland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","8591","*","Unofficial figure"
"FBS","Food Balances (2010-)","230","Ukraine","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","43994","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","67530","*","Unofficial figure"
